# Fraction frozen, Temperatures, k, k_upper, k_lower
1.107419712070874815e-03,0.000000000000000000e+00,1.108033354361732904e-03,4.171844682036072657e-03,1.295403189379856778e-04
2.214839424141749630e-03,1.000000000000000000e+00,2.217295808647557105e-03,6.135855876892939292e-03,3.000480967739102534e-04
3.322259136212624663e-03,2.000000000000000000e+00,3.327790092674691013e-03,7.987317723978334602e-03,6.882323682067498054e-04
4.429678848283499261e-03,3.000000000000000000e+00,4.439518945365138539e-03,9.663045970116286229e-03,1.248758885455161219e-03
5.537098560354373859e-03,4.000000000000000000e+00,5.552485114785779205e-03,1.135277526492183345e-02,1.757672569801118885e-03
6.644518272425249325e-03,5.000000000000000000e+00,6.666691358189345135e-03,1.295283836092117613e-02,2.438006246055906927e-03
7.751937984496123923e-03,6.000000000000000000e+00,7.782140442054962838e-03,1.456348477501244465e-02,3.112269745009990304e-03
8.859357696566998522e-03,7.000000000000000000e+00,8.898835142130032475e-03,1.613626885392328153e-02,3.802174219532714235e-03
9.966777408637873120e-03,8.000000000000000000e+00,1.001677824347123151e-02,1.779180819621782247e-02,4.622383203341977678e-03
1.107419712070874772e-02,9.000000000000000000e+00,1.113597254048640829e-02,1.905074503888620763e-02,5.325624577782132191e-03
1.218161683277962232e-02,1.000000000000000000e+01,1.225642083697604801e-02,2.039876343843448001e-02,6.017162728041268276e-03
1.328903654485049865e-02,1.100000000000000000e+01,1.337812594617608652e-02,2.205654147833536333e-02,7.034915796342404437e-03
1.439645625692137325e-02,1.200000000000000000e+01,1.450109069079984388e-02,2.338770434281476143e-02,7.948407272502251014e-03
1.550387596899224785e-02,1.300000000000000000e+01,1.562531790308087018e-02,2.492060740567755492e-02,8.428111880919931034e-03
1.661129568106312071e-02,1.400000000000000000e+01,1.675081042481535443e-02,2.616779367443650486e-02,9.429958987519705335e-03
1.771871539313399704e-02,1.500000000000000000e+01,1.787757110740589850e-02,2.788291246009999905e-02,1.024623295642648757e-02
1.882613510520487338e-02,1.600000000000000000e+01,1.900560281190452269e-02,2.899378552372194884e-02,1.091780301099394210e-02
1.993355481727574624e-02,1.700000000000000000e+01,2.013490840905592452e-02,3.044481962557492663e-02,1.197929810710521639e-02
2.104097452934662257e-02,1.800000000000000000e+01,2.126549077934197438e-02,3.212497046767890524e-02,1.295283836092117613e-02
2.214839424141749544e-02,1.900000000000000000e+01,2.239735281302536463e-02,3.324211713393117329e-02,1.340327364483734698e-02
2.325581395348837177e-02,2.000000000000000000e+01,2.353049741019416080e-02,3.473572041507227287e-02,1.456348477501244465e-02
2.436323366555924463e-02,2.100000000000000000e+01,2.466492748080592254e-02,3.629643286234882776e-02,1.544242448226208590e-02
2.547065337763012097e-02,2.200000000000000000e+01,2.580064594473324355e-02,3.755864223962493420e-02,1.645456913057422726e-02
2.657807308970099730e-02,2.300000000000000000e+01,2.693765573180837217e-02,3.905500256532325187e-02,1.711012968748580956e-02
2.768549280177187016e-02,2.400000000000000000e+01,2.807595978186879643e-02,4.021626747673352764e-02,1.814276525588531114e-02
2.879291251384274650e-02,2.500000000000000000e+01,2.921556104480238503e-02,4.141206154205229195e-02,1.914400562116451085e-02
2.990033222591361936e-02,2.600000000000000000e+01,3.035646248059395425e-02,4.285216703696265172e-02,1.990671504776443668e-02
3.100775193798449569e-02,2.700000000000000000e+01,3.149866705937105077e-02,4.391137443389719897e-02,2.069981130567521976e-02
3.211517165005536856e-02,2.800000000000000000e+01,3.264217776144998778e-02,4.588435866560663240e-02,2.184216674822177587e-02
3.322259136212624142e-02,2.900000000000000000e+01,3.378699757738320986e-02,4.678946282502715465e-02,2.282355827003538715e-02
3.433001107419712122e-02,3.000000000000000000e+01,3.493312950800575578e-02,4.818070486403512598e-02,2.384904474498207236e-02
3.543743078626799409e-02,3.100000000000000000e+01,3.608057656448267203e-02,5.010025495753291092e-02,2.504260317815989317e-02
3.654485049833886695e-02,3.200000000000000000e+01,3.722934176835603765e-02,5.059197488435822343e-02,2.541218549621043418e-02
3.765227021040974675e-02,3.300000000000000000e+01,3.837942815159336996e-02,5.235131209956415954e-02,2.642462321755323709e-02
3.875968992248061962e-02,3.400000000000000000e+01,3.953083875663520458e-02,5.390793065837313353e-02,2.734354016299174461e-02
3.986710963455149248e-02,3.500000000000000000e+01,4.068357663644361216e-02,5.524041120381513459e-02,2.857211417772472992e-02
4.097452934662236534e-02,3.600000000000000000e+01,4.183764485455027105e-02,5.660582761569268873e-02,2.971044547852354570e-02
4.208194905869324515e-02,3.700000000000000000e+01,4.299304648510608035e-02,5.688293449172353300e-02,3.044481962557492663e-02
4.318936877076411801e-02,3.800000000000000000e+01,4.414978461292974610e-02,5.886103998750941840e-02,3.135006859352116454e-02
4.429678848283499087e-02,3.900000000000000000e+01,4.530786233355750536e-02,6.031595004823646355e-02,3.228223431459797954e-02
4.540420819490587068e-02,4.000000000000000000e+01,4.646728275329232299e-02,6.180682215253682082e-02,3.291902614090352897e-02
4.651162790697674354e-02,4.100000000000000000e+01,4.762804898925458719e-02,6.302600911379559190e-02,3.406378611341720486e-02
4.761904761904761640e-02,4.200000000000000000e+01,4.879016416943205564e-02,6.458386766958378045e-02,3.594365597724222261e-02
4.872646733111848927e-02,4.300000000000000000e+01,4.995363143273007234e-02,6.553700562222332382e-02,3.647411759102790751e-02
4.983388704318936907e-02,4.400000000000000000e+01,5.111845392902313046e-02,6.748568876212816814e-02,3.755864223962493420e-02
5.094130675526024193e-02,4.500000000000000000e+01,5.228463481920559569e-02,6.814804183733708109e-02,3.848700583077574455e-02
